customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Actual_Churn,Predicted_Churn,Churn_Probability,Actual_Churn_Label,Predicted_Churn_Label,Risk_Segment,Prediction_Result,Error_Type,Tenure_Group,Charge_Bucket,Annual_Revenue,Customer_Lifetime_Value
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0,0.0054088593,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$30-60,594.5999999999999,495.5
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,1,0.8357907,Retained,Churned,High Risk,Incorrect,False Positive,4-6 Years,$60-90,830.4000000000001,4844.0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,0,0.42829683,Retained,Retained,Medium Risk,Correct,True Negative,1-2 Years,$0-30,249.0,352.75
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,0,0.15140025,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$60-90,958.1999999999999,5030.549999999999
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,0,0.05759333,Retained,Retained,Low Risk,Correct,True Negative,1-2 Years,$60-90,914.4000000000001,990.6
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,1,0.8411715,Churned,Churned,High Risk,Correct,True Positive,4-6 Years,$60-90,1014.0,4140.5
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,1,0.7036144,Retained,Churned,High Risk,Incorrect,False Positive,0-1 Year,$30-60,591.0,98.5
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0,0,0.26370966,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$60-90,967.8000000000001,161.3
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,0,0.0072690547,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$60-90,957.0,4147.0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,1,0,0.26312956,Churned,Retained,Low Risk,Incorrect,False Negative,4-6 Years,$60-90,769.8000000000001,4426.35
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,0,0.00772405,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$90+,1083.0,3880.75
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,1,0.89910364,Churned,Churned,High Risk,Correct,True Positive,1-2 Years,$90+,1189.1999999999998,1486.5
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,0,0.12555747,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$60-90,834.0,1737.5
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0,0,0.34186456,Retained,Retained,Medium Risk,Correct,True Negative,0-1 Year,$60-90,967.8000000000001,645.2
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,0,0.37523204,Retained,Retained,Medium Risk,Correct,True Negative,4-6 Years,$60-90,898.1999999999999,4491.0
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,1,0.58148754,Churned,Churned,Medium Risk,Correct,True Positive,1-2 Years,$90+,1145.4,1718.1000000000001
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,0,0.15161505,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1195.8000000000002,6277.950000000001
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,0,0.043045804,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1301.4,7157.7
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,0,0.0159406,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$0-30,299.4,848.3
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,0,0.01504044,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1290.0,7740.0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,0,0.002016363,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$90+,1206.0,4723.5
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,1,0,0.019175828,Churned,Retained,Low Risk,Incorrect,False Negative,4-6 Years,$60-90,1078.8000000000002,5394.0
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,0,0.13572124,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$30-60,505.20000000000005,3031.2000000000003
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,0,0.15236673,Retained,Retained,Low Risk,Correct,True Negative,1-2 Years,$30-60,652.8,979.1999999999999
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0,0.28965873,Churned,Retained,Low Risk,Incorrect,False Negative,0-1 Year,$90+,1132.8000000000002,849.6
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,1,1,0.5691685,Churned,Churned,Medium Risk,Correct,True Positive,0-1 Year,$60-90,903.5999999999999,225.89999999999998
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,1,0,0.20129795,Churned,Retained,Low Risk,Incorrect,False Negative,2-4 Years,$60-90,946.8000000000001,3708.3
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,1,0,0.20264983,Churned,Retained,Low Risk,Incorrect,False Negative,2-4 Years,$60-90,950.4000000000001,2455.2000000000003
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,1,0,0.17050038,Churned,Retained,Low Risk,Incorrect,False Negative,4-6 Years,$0-30,241.79999999999998,1007.4999999999999
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,1,1,0.8663021,Churned,Churned,High Risk,Correct,True Positive,0-1 Year,$60-90,958.1999999999999,798.5
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0,0.0024687545,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$30-60,588.5999999999999,49.05
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,0,0.012465276,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$0-30,244.79999999999998,1060.8
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,1,1,0.53353816,Churned,Churned,Medium Risk,Correct,True Positive,4-6 Years,$90+,1339.1999999999998,7142.4
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,0,0.11170765,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$0-30,291.0,1503.5
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0,0.09678117,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$60-90,774.0,193.5
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,0,0.036459167,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$90+,1326.0,6188.0
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,0,0.0915406,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$30-60,667.8,2559.9
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,1,0,0.4915036,Churned,Retained,Medium Risk,Incorrect,False Negative,0-1 Year,$30-60,655.8,437.2
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,0,0.17219853,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$60-90,897.0,2242.5
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0,0.0064011766,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$0-30,310.79999999999995,1165.5
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0,0,0.03493405,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$60-90,952.1999999999999,79.35
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0,0.0025539778,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$30-60,606.5999999999999,556.05
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0,0.1651382,Churned,Retained,Low Risk,Incorrect,False Negative,0-1 Year,$60-90,901.8000000000001,526.0500000000001
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,1,1,0.8468457,Churned,Churned,High Risk,Correct,True Positive,2-4 Years,$90+,1245.6,4359.599999999999
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0,0.037966326,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$0-30,241.79999999999998,987.3499999999999
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,0,0.25233218,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$90+,1191.6,893.6999999999999
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,1,0.69817543,Retained,Churned,High Risk,Incorrect,False Positive,2-4 Years,$60-90,745.8,2175.25
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,1,1,0.6801627,Churned,Churned,High Risk,Correct,True Positive,2-4 Years,$0-30,247.79999999999998,991.1999999999999
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,1,0,0.40020767,Churned,Retained,Medium Risk,Incorrect,False Negative,2-4 Years,$0-30,239.39999999999998,917.6999999999999
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,0,0.037492853,Retained,Retained,Low Risk,Correct,True Negative,2-4 Years,$30-60,405.0,978.75
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,1,0,0.4603435,Churned,Retained,Medium Risk,Incorrect,False Negative,2-4 Years,$60-90,984.5999999999999,2461.5
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0,0.39907622,Retained,Retained,Medium Risk,Correct,True Negative,0-1 Year,$60-90,896.4000000000001,74.7
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,0,0.0072656213,Retained,Retained,Low Risk,Correct,True Negative,4-6 Years,$60-90,1008.0,5544.0
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,1,1,0.5098403,Churned,Churned,Medium Risk,Correct,True Positive,4-6 Years,$90+,1332.6,7218.25
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,1,0,0.48861176,Churned,Retained,Medium Risk,Incorrect,False Negative,4-6 Years,$90+,1210.8000000000002,7264.8
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0,0,0.00757361,Retained,Retained,Low Risk,Correct,True Negative,0-1 Year,$60-90,947.4000000000001,947.4000000000001
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,0,0.48341146,Retained,Retained,Medium Risk,Correct,True Negative,4-6 Years,$60-90,802.1999999999999,4746.349999999999
